"year","crop","treatment_scen","Model","yield_val"
2018,"Sorghum","Rmv Resid 0%, Crop Rotation","Daycent",2.20450888888889
2020,"Sorghum","Rmv Resid 0%, Crop Rotation","Historical",NA
2020,"Sorghum","Rmv Resid 0%, Crop Rotation","APSIM",1.533
2020,"Sorghum","Rmv Resid 0%, Crop Rotation","Daycent",1.57183333333333
2022,"Sorghum","Rmv Resid 0%, Crop Rotation","Historical",NA
2022,"Sorghum","Rmv Resid 0%, Crop Rotation","APSIM",2.399
2022,"Sorghum","Rmv Resid 0%, Crop Rotation","Daycent",NA
2023,"Sorghum","Rmv Resid 0%, Crop Rotation","Historical",NA
2023,"Sorghum","Rmv Resid 0%, Crop Rotation","APSIM",NA
2023,"Sorghum","Rmv Resid 0%, Crop Rotation","Daycent",1.37169333333333
2024,"Sorghum","Rmv Resid 0%, Crop Rotation","Historical",NA
2024,"Sorghum","Rmv Resid 0%, Crop Rotation","APSIM",1.446
2024,"Sorghum","Rmv Resid 0%, Crop Rotation","Daycent",NA
2025,"Sorghum","Rmv Resid 0%, Crop Rotation","Historical",NA
2025,"Sorghum","Rmv Resid 0%, Crop Rotation","APSIM",NA
2025,"Sorghum","Rmv Resid 0%, Crop Rotation","Daycent",1.03479333333333
2026,"Sorghum","Rmv Resid 0%, Crop Rotation","Historical",NA
2026,"Sorghum","Rmv Resid 0%, Crop Rotation","APSIM",1.346
2026,"Sorghum","Rmv Resid 0%, Crop Rotation","Daycent",NA
2027,"Sorghum","Rmv Resid 0%, Crop Rotation","Historical",NA
2027,"Sorghum","Rmv Resid 0%, Crop Rotation","APSIM",NA
2027,"Sorghum","Rmv Resid 0%, Crop Rotation","Daycent",2.24764
2028,"Sorghum","Rmv Resid 0%, Crop Rotation","Historical",NA
2028,"Sorghum","Rmv Resid 0%, Crop Rotation","APSIM",1.639
2028,"Sorghum","Rmv Resid 0%, Crop Rotation","Daycent",NA
2029,"Sorghum","Rmv Resid 0%, Crop Rotation","Historical",NA
2029,"Sorghum","Rmv Resid 0%, Crop Rotation","APSIM",NA
2029,"Sorghum","Rmv Resid 0%, Crop Rotation","Daycent",2.27831555555556
2030,"Sorghum","Rmv Resid 0%, Crop Rotation","Historical",NA
2030,"Sorghum","Rmv Resid 0%, Crop Rotation","APSIM",1.275
2030,"Sorghum","Rmv Resid 0%, Crop Rotation","Daycent",NA
