"Model","Climate_Scenario","Mgmt_Scenario","Scenario_Name","Maize_Diff_Mgha","Soybean_Diff_Mgha","Wheat_Diff_Mgha","SOC_Diff_Mgha","Total_N2O_kgha","N2O_Diff_kgha","Total_CH4_kgha","CH4_Diff_kgha","Total_SOC_Mgha","Cotton_Diff_Mgha","Sorghum_Diff_Mgha","N2O_Mgha","CH4_Mgha","CO2e_SOC","CO2e_N2O","CO2e_CH4","scenario_abbrev","GWP"
"RothC",5,54,"5_54",NA,NA,NA,-2.9665,35.63044005,NA,-12.13325685,NA,32.386,NA,NA,0.03563044005,-0.01213325685,10.8771666666667,15.28545878145,-0.4367972466,"RR50-NT-CR",25.7258282015167
"APSIM",5,55,"5_55",-5.94642222222194,0.369133333333323,-0.800234343434347,2.9,37.33465,0.91151972413795,-12.031473025,NA,41.6,NA,NA,0.03733465,-0.012031473025,-10.6333333333333,16.01656485,-0.4331330289,"RR25-NT-CR",4.95009848776667
"Daycent",5,55,"5_55",-3.69337585634122,-0.200880987654319,1.48674711111111,2.2,37.5288628,-0.124562655172415,-12.031473025,-0.026259874712646,47.2,NA,NA,0.0375288628,-0.012031473025,-8.06666666666667,16.0998821412,-0.4331330289,"RR25-NT-CR",7.60008244563334
"RothC",5,55,"5_55",NA,NA,NA,-2.8508,37.4317564,NA,-12.031473025,NA,32.5017,NA,NA,0.0374317564,-0.012031473025,10.4529333333333,16.0582234956,-0.4331330289,"RR25-NT-CR",26.0780238000333
"APSIM",5,56,"5_56",-4.72855255255251,0.220888888888881,-0.956185858585869,3.7,47.58758,1.01843972413795,-11.900866925,NA,45.5,NA,NA,0.04758758,-0.011900866925,-13.5666666666667,20.41507182,-0.4284312093,"RR00-NT-CR",6.41997394403333
"Daycent",5,56,"5_56",-3.61675553759824,-0.225352641975309,1.68074701234568,3.5,36.9039025,-0.0463439572413782,-11.900866925,-0.0306628888888904,48.5,NA,NA,0.0369039025,-0.011900866925,-12.8333333333333,15.8317741725,-0.4284312093,"RR00-NT-CR",2.57000962986667
"RothC",5,56,"5_56",NA,NA,NA,-2.742,42.24574125,NA,-11.900866925,NA,32.6105,NA,NA,0.04224574125,-0.011900866925,10.054,18.12342299625,-0.4284312093,"RR00-NT-CR",27.74899178695
"APSIM",5,61,"5_61",-4.96688888888883,0.302711111111101,-0.842375757575759,2.8,45.35709,0.978483586206916,NA,NA,53.1,NA,NA,0.04535709,NA,-10.2666666666667,19.45819161,NA,"BC19-CR",9.19152494333333
"APSIM",5,62,"5_62",-4.96491291291289,0.301933333333324,-0.81058585858586,1.9,44.41666,1.02737889655173,NA,NA,63,NA,NA,0.04441666,NA,-6.96666666666667,19.05474714,NA,"BC38-CR",12.0880804733333
"APSIM",5,63,"5_63",-4.96281081081077,0.300066666666659,-0.79027878787879,0.900000000000006,43.51383,1.05408951724139,NA,NA,72.7,NA,NA,0.04351383,NA,-3.30000000000002,18.66743307,NA,"BC57-CR",15.36743307
"APSIM",5,64,"5_64",-4.9591111111111,0.298977777777768,-0.775119191919195,0.0999999999999943,42.69455,1.06270427586208,NA,NA,82,NA,NA,0.04269455,NA,-0.366666666666646,18.31596195,NA,"BC76-CR",17.9492952833334
"APSIM",5,65,"5_65",-4.95272072072072,0.299444444444436,-0.76171313131313,-0.600000000000009,41.93138,1.05865089655173,NA,NA,91.6,NA,NA,0.04193138,NA,2.20000000000003,17.98856202,NA,"BC96-CR",20.18856202
